symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-25 08:00:00+00:00,2019-06-25 20:00:00+00:00,0.05,-1.0000000000000027,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2019-07-03 16:00:00+00:00,2019-07-10 16:00:00+00:00,0.15,1.606144150815825,0.15,UNCHANGED,0.15,UNCHANGED
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2019-07-16 12:00:00+00:00,2019-07-17 12:00:00+00:00,0.4,2.5,0.4,UNCHANGED,0.4,UNCHANGED
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2019-07-16 16:00:00+00:00,2019-07-17 20:00:00+00:00,0.5,-0.0,0.5,UNCHANGED,0.5,UNCHANGED
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2019-07-16 16:00:00+00:00,2019-07-17 20:00:00+00:00,0.4,-0.0,0.4,UNCHANGED,0.4,UNCHANGED
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2019-07-16 20:00:00+00:00,2019-07-18 12:00:00+00:00,0.15,-0.9999999999999879,0.15,UNCHANGED,0.15,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2019-07-17 04:00:00+00:00,2019-07-17 16:00:00+00:00,0.025,-1.000000000000017,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-07-18 04:00:00+00:00,2019-07-18 12:00:00+00:00,0.15,-1.0000000000000018,0.15,UNCHANGED,0.15,UNCHANGED
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-07-18 04:00:00+00:00,2019-07-19 16:00:00+00:00,0.05,-0.0,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2019-07-18 08:00:00+00:00,2019-07-19 00:00:00+00:00,0.55,2.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-07-18 08:00:00+00:00,2019-07-18 20:00:00+00:00,0.05,-1.000000000000009,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-07-19 00:00:00+00:00,2019-07-19 12:00:00+00:00,0.15,-1.0000000000000075,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-07-23 08:00:00+00:00,2019-07-25 12:00:00+00:00,0.55,3.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-07-23 12:00:00+00:00,2019-07-25 16:00:00+00:00,0.55,3.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-07-23 16:00:00+00:00,2019-07-25 16:00:00+00:00,0.55,3.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-07-23 20:00:00+00:00,2019-07-24 16:00:00+00:00,0.55,-0.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2019-07-29 16:00:00+00:00,2019-07-31 20:00:00+00:00,0.2,0.4703398551294308,0.2,UNCHANGED,0.2,UNCHANGED
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-01 00:00:00+00:00,2019-08-02 00:00:00+00:00,0.55,-0.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-01 04:00:00+00:00,2019-08-02 00:00:00+00:00,0.55,-0.9999999999999721,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2019-08-01 12:00:00+00:00,2019-08-05 04:00:00+00:00,0.15,-1.0000000000000038,0.15,UNCHANGED,0.15,UNCHANGED
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-08-01 16:00:00+00:00,2019-08-02 08:00:00+00:00,0.15,3.0,0.15,UNCHANGED,0.15,UNCHANGED
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2019-08-01 16:00:00+00:00,2019-08-02 00:00:00+00:00,0.2,-1.000000000000006,0.2,UNCHANGED,0.2,UNCHANGED
