symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 16:00:00+00:00,2013-11-26 20:00:00+00:00,0.25,0.7690526996074102
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 20:00:00+00:00,2013-11-25 04:00:00+00:00,0.15,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-22 00:00:00+00:00,2013-11-26 20:00:00+00:00,0.25,0.19578632198728882
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-22 04:00:00+00:00,2013-11-26 20:00:00+00:00,0.25,0.1109766345553077
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-11-22 16:00:00+00:00,2013-11-25 20:00:00+00:00,0.15,-1.0000000000000224
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-23 00:00:00+00:00,2013-11-25 16:00:00+00:00,0.15,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-25 04:00:00+00:00,2013-11-27 00:00:00+00:00,0.25,-0.9999999999999851
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-25 08:00:00+00:00,2013-11-26 00:00:00+00:00,0.25,-0.9999999999999883
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-11-27 12:00:00+00:00,2013-12-02 04:00:00+00:00,0.4,2.5
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-27 16:00:00+00:00,2013-11-29 12:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-28 00:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,1.069701006522916
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,1,2013-11-28 12:00:00+00:00,2013-12-04 12:00:00+00:00,0.4,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-29 04:00:00+00:00,2013-11-29 12:00:00+00:00,0.25,-1.0000000000000075
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 12:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 16:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 20:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,-1.000000000000007
