time,event,equity,balance,peak,drawdown_percent,open_risk_percent,trade_id,engine_group,engine,symbol,risk_percent,admission_reason,pnl
2016-01-21T20:00:00+00:00,EXIT,5738.860314131073,5738.860314131073,5885.002902154629,2.4833052838436087,0.15,337.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-28.911135083783595
2016-01-22T00:00:00+00:00,EXIT,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.0,333.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.67334052513496
2016-02-04T12:00:00+00:00,ENTRY,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.25,338.0,V12,EURUSD_SWING_CORE,EURUSD,0.25,v12_master_admitted,
2016-02-04T20:00:00+00:00,EXIT,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.0,338.0,V12,EURUSD_SWING_CORE,EURUSD,,,0.0
2016-02-08T20:00:00+00:00,ENTRY,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.15,339.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-02-08T20:00:00+00:00,ENTRY,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.2375,340.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.0875,v12_master_admitted,
2016-02-09T12:00:00+00:00,EXIT,5730.186973605938,5730.186973605938,5885.002902154629,2.630685678880623,0.0875,339.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-02-11T04:00:00+00:00,EXIT,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.0,340.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,,,15.041740805715587
2016-02-11T04:00:00+00:00,ENTRY,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.15,341.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-02-11T04:00:00+00:00,ENTRY,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.4,342.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.25,v12_master_admitted,
2016-02-11T08:00:00+00:00,ENTRY,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.55,343.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-02-11T16:00:00+00:00,EXIT,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.3,342.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,,,-0.0
2016-02-12T12:00:00+00:00,EXIT,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.15,343.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-02-13T00:00:00+00:00,EXIT,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.0,341.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-02-22T16:00:00+00:00,ENTRY,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.15,344.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-02-22T16:00:00+00:00,ENTRY,5745.2287144116535,5745.2287144116535,5885.002902154629,2.375091228787685,0.55,345.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.4,v12_master_admitted,
2016-02-22T20:00:00+00:00,EXIT,5722.247799554007,5722.247799554007,5885.002902154629,2.7655908638725393,0.15,345.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-22.980914857646884
2016-02-23T00:00:00+00:00,ENTRY,5722.247799554007,5722.247799554007,5885.002902154629,2.7655908638725393,0.3,346.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-02-24T12:00:00+00:00,ENTRY,5722.247799554007,5722.247799554007,5885.002902154629,2.7655908638725393,0.44999999999999996,347.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-02-24T16:00:00+00:00,EXIT,5748.101328768859,5748.101328768859,5885.002902154629,2.3262787744020805,0.3,344.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,25.853529214852436
2016-02-24T20:00:00+00:00,ENTRY,5748.101328768859,5748.101328768859,5885.002902154629,2.3262787744020805,0.55,348.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.25,v12_master_admitted,
2016-02-25T00:00:00+00:00,EXIT,5733.731075446937,5733.731075446937,5885.002902154629,2.5704630774660737,0.3,348.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,,,-14.370253321922021
2016-02-25T12:00:00+00:00,ENTRY,5733.731075446937,5733.731075446937,5885.002902154629,2.5704630774660737,0.44999999999999996,349.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-02-25T16:00:00+00:00,EXIT,5725.147703747606,5725.147703747606,5885.002902154629,2.7163146911702665,0.3,347.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-8.583371699330987
2016-02-26T08:00:00+00:00,EXIT,5716.5471071344355,5716.5471071344355,5885.002902154629,2.8624589965540714,0.15,349.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.600596613170437
2016-02-26T12:00:00+00:00,EXIT,5725.337690700349,5725.337690700349,5885.002902154629,2.713086367312113,0.0,346.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,8.790583565913819
2016-02-27T00:00:00+00:00,ENTRY,5725.337690700349,5725.337690700349,5885.002902154629,2.713086367312113,0.15,350.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-03-01T12:00:00+00:00,EXIT,5716.749684164299,5716.749684164299,5885.002902154629,2.859016737761147,0.0,350.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.588006536050633
2016-03-09T08:00:00+00:00,ENTRY,5716.749684164299,5716.749684164299,5885.002902154629,2.859016737761147,0.25,351.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2016-03-09T20:00:00+00:00,EXIT,5745.33343258512,5745.33343258512,5885.002902154629,2.3733118214499545,0.0,351.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,28.583748420821493
2016-03-11T04:00:00+00:00,ENTRY,5745.33343258512,5745.33343258512,5885.002902154629,2.3733118214499545,0.25,352.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2016-03-11T20:00:00+00:00,EXIT,5774.060099748046,5774.060099748046,5885.002902154629,1.8851783805571996,0.0,352.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,28.7266671629256
2016-03-17T08:00:00+00:00,ENTRY,5774.060099748046,5774.060099748046,5885.002902154629,1.8851783805571996,0.25,353.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.25,v12_master_admitted,
2016-03-17T12:00:00+00:00,ENTRY,5774.060099748046,5774.060099748046,5885.002902154629,1.8851783805571996,0.4,354.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
