trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
2305,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-08 09:21:00+00:00,2024-02-08 09:45:00+00:00,0.45,67.74783482831053,1.2,15055.074406291229,0.6779500435997428,0.0,0.0,ict_active,81.29740179397264,15055.074406291229,15136.371808085201,0.14161097383518345
2306,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-08 10:36:00+00:00,2024-02-08 11:00:00+00:00,0.45,68.1136731363834,1.2,15136.371808085201,0.14161097383518345,0.0,0.0,ict_active,81.73640776366007,15136.371808085201,15218.10821584886,0.0
2307,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-08 11:52:00+00:00,2024-02-08 12:36:00+00:00,0.45,68.48148697131987,1.25,15218.10821584886,0.0,0.0,0.0,ict_active,85.60185871414984,15218.10821584886,15303.71007456301,0.0
2308,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-08 12:45:00+00:00,2024-02-08 13:09:00+00:00,0.45,68.86669533553355,-1.0,15303.71007456301,0.0,0.0,0.0,ict_active,-68.86669533553355,15303.71007456301,15234.843379227477,0.4499999999999979
2309,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-09 08:46:00+00:00,2024-02-09 09:10:00+00:00,0.45,68.55679520652365,-1.0,15234.843379227477,0.4499999999999979,0.0,0.0,ict_active,-68.55679520652365,15234.843379227477,15166.286584020954,0.8979749999999938
2310,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-09 08:57:00+00:00,2024-02-09 09:41:00+00:00,0.45,68.55679520652365,1.25,15234.843379227477,0.4499999999999979,0.45,0.45,ict_active,85.69599400815456,15166.286584020954,15251.982578029108,0.33800624999999596
2311,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-09 09:46:00+00:00,2024-02-09 10:10:00+00:00,0.45,68.633921601131,0.520000000000582,15251.982578029108,0.33800624999999596,0.0,0.0,ict_active,35.68963923262806,15251.982578029108,15287.672217261737,0.10479718462472938
2312,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-09 11:39:00+00:00,2024-02-09 12:03:00+00:00,0.45,68.79452497767782,-0.2400000000007276,15287.672217261737,0.10479718462472938,0.0,0.0,ict_active,-16.510685994692732,15287.672217261737,15271.161531267044,0.21268400366566761
2313,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-09 14:52:00+00:00,2024-02-09 15:16:00+00:00,0.45,68.7202268907017,1.2,15271.161531267044,0.21268400366566761,0.0,0.0,ict_active,82.46427226884204,15271.161531267044,15353.625803535886,0.0
2314,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,-1,2024-02-09 16:07:00+00:00,2024-02-09 16:31:00+00:00,0.45,69.09131611591148,0.240392362877932,15353.625803535886,0.0,0.0,0.0,ict_active,16.609024735450106,15353.625803535886,15370.234828271336,0.0
