engine,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,setup,risk_percent,position_size,risk_dollars,r_multiple,pnl,equity_before,equity_after,peak_before,peak_after,drawdown_before,drawdown_after,guard_reason,guard_multiplier,is_recovery_probe,exit_reason,engine_group
GBPUSD_SWING_RETEST,232,GBPUSD,SELL,2015-01-07 12:00:00+00:00,,2015-01-09 12:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,8.7733421919917,-0.0,-0.0,5848.894794661134,5848.894794661134,5848.894794661134,5848.894794661134,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,233,GBPUSD,SELL,2015-01-08 04:00:00+00:00,,2015-01-09 16:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,8.7733421919917,-1.000000000000012,-8.773342191991805,5848.894794661134,5840.121452469142,5848.894794661134,5848.894794661134,0.0,0.1500000000000053,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,234,GBPJPY,SELL,2015-01-16 00:00:00+00:00,,2015-01-16 12:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,8.760182178703714,-0.999999999999999,-8.760182178703705,5840.121452469142,5831.361270290438,5848.894794661134,5848.894794661134,0.1500000000000053,0.299775000000008,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_CORE,235,EURUSD,SELL,2015-01-22 20:00:00+00:00,,2015-01-23 16:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.25,,14.578403175726097,3.0,43.73520952717829,5831.361270290438,5875.0964798176165,5848.894794661134,5875.0964798176165,0.299775000000008,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,236,GBPUSD,SELL,2015-02-02 12:00:00+00:00,,2015-02-02 20:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,23.500385919270467,-1.0000000000000204,-23.500385919270947,5875.0964798176165,5851.596093898345,5875.0964798176165,5875.0964798176165,0.0,0.4000000000000114,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,237,AUDUSD,SELL,2015-02-03 08:00:00+00:00,,2015-02-03 20:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,14.628990234745864,-0.999999999999998,-14.628990234745835,5851.596093898345,5836.967103663599,5875.0964798176165,5875.0964798176165,0.4000000000000114,0.6490000000000171,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,238,USDJPY,BUY,2015-02-10 16:00:00+00:00,,2015-02-12 12:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.592417759158998,0.3460597543408945,5.0498485049742685,5836.967103663599,5842.016952168573,5875.0964798176165,5875.0964798176165,0.6490000000000171,0.5630465433662187,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,239,USDJPY,BUY,2015-02-24 12:00:00+00:00,,2015-02-24 20:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.605042380421432,-1.0000000000000144,-14.605042380421644,5842.016952168573,5827.411909788151,5875.0964798176165,5875.0964798176165,0.5630465433662187,0.8116389270078088,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,240,USDJPY,BUY,2015-03-02 20:00:00+00:00,,2015-03-03 08:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.568529774470376,-1.000000000000015,-14.568529774470598,5827.411909788151,5812.843380013681,5875.0964798176165,5875.0964798176165,0.8116389270078088,1.0596098296902885,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_RETEST,241,EURUSD,SELL,2015-03-05 11:00:00+00:00,,2015-03-05 16:00:00+00:00,,,,H1_BREAKOUT_RETEST,0.1,,5.812843380013682,-0.999999999999984,-5.812843380013589,5812.843380013681,5807.030536633667,5875.0964798176165,5875.0964798176165,1.0596098296902885,1.1585502198606017,warmup,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
